lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
"Medan Timur, Medan",21.556174960316298,Ruko,0.0,5.0,0.0,4.5217885770490405,5.765191102784844
"Medan Selayang, Medan",20.711193256724286,Rumah,3.0,3.0,2.0,4.3694478524670215,4.795790545596741
"Medan Selayang, Medan",20.962282738204312,Rumah,3.0,3.0,1.0,4.727387818712341,4.844187086458591
"Medan Maimun, Medan",20.435583765827964,Rumah,3.0,2.0,0.0,5.198497031265826,4.962844630259907
"Medan Selayang, Medan",20.468373588607943,Rumah,3.0,3.0,1.0,4.574710978503383,4.51085950651685
"Medan Kota, Medan",22.109560198316302,Ruko,0.0,2.0,0.0,4.6443908991413725,5.303304908059076
"Medan Helvetia, Medan",20.051880150124926,Rumah,3.0,2.0,1.0,4.852030263919617,4.912654885736052
"Medan Tembung, Medan",20.40168221419826,Rumah,0.0,2.0,0.0,4.110873864173311,4.912654885736052
"Medan Kota, Medan",20.9055873945737,Rumah,4.0,2.0,1.0,4.844187086458591,5.303304908059076
"Medan Denai, Medan",20.435583765827964,Rumah,4.0,3.0,0.0,4.795790545596741,4.795790545596741
"Medan Tuntungan, Medan",20.088387566397234,Rumah,2.0,1.0,1.0,4.51085950651685,4.2626798770413155
"Medan Tembung, Medan",20.40168221419826,Rumah,0.0,0.0,0.0,4.007333185232471,4.663439094112067
"Medan Tuntungan, Medan",20.088387566397234,Rumah,2.0,1.0,1.0,4.51085950651685,4.2626798770413155
"Medan Helvetia, Medan",21.416413018006356,Rumah,3.0,3.0,1.0,5.198497031265826,5.017279836814924
"Medan Polonia, Medan",23.01073729223193,Rumah,0.0,0.0,0.0,5.572154032177765,6.26530121273771
"Medan Selayang, Medan",19.673443715304877,Rumah,2.0,1.0,0.0,4.290459441148391,3.9318256327243257
"Medan Helvetia, Medan",20.169880600500754,Rumah,2.0,2.0,1.0,4.663439094112067,4.330733340286331
"Medan Johor, Medan",20.107079699374445,Rumah,2.0,1.0,0.0,4.948759890378168,4.02535169073515
"Medan Selayang, Medan",20.560746908625106,Rumah,4.0,2.0,0.0,5.1298987149230735,5.1298987149230735
